(( 0.07, 0.045310135269529, 0.16420964660791, 4.1096540417962), Plastic )
(( 0.14626659760733, 0.12705969909252, 0.3968453641159, 4.6684352923446), Plastic )
(( 0.13525823653655, 0.099108697778705, 0.3510695593589, 1.223282855183), Plastic )
(( 0.20254925377195, 0.15, 0.58529319695808, 2.3012727442799), Plastic )
(( 0.12984664185345, 0.11137053116148, 0.75, 3.6785707957745), Ceramic )
(( 0.12679150480991, 0.10302347380484, 0.28004469181265, 3.1713977999163), Plastic )
(( 0.11615062990717, 0.090063098426692, 0.64277629932336, 2.8639353052568), Ceramic )
(( 0.14489782542609, 0.10432901437191, 0.29539189217629, 1.895844234639), Plastic )
(( 0.05, 0.03, 0.1, 4.1950339170418), Metal )
(( 0.079244820715179, 0.062198834593455, 0.17299562562458, 2.788912411105), Metal )
(( 0.059798223663637, 0.038314720803447, 0.1, 3.3832785058107), Metal )
(( 0.10658994282229, 0.12222040604424, 0.31298857950817, 1.9901675878062), Plastic )
(( 0.072779194607832, 0.058168701797261, 0.19536775542526, 1.4000544537241), Metal )
(( 0.097129984867083, 0.073368420774092, 0.24492838580871, 3.5196919910585), Metal )
(( 0.093816785497849, 0.053552568937628, 0.1889723640492, 2.9364140703423), Plastic )
(( 0.09548194703645, 0.13265080836762, 0.75, 2.6656651010036), Ceramic )
(( 0.10316475782383, 0.083102208333016, 0.35003880376117, 2.2263426056993), Metal )
(( 0.082640622045191, 0.081817733428321, 0.46033082663056, 2.982156899094), Ceramic )
(( 0.13069515712019, 0.14245803012168, 0.75, 2.2471939616769), Ceramic )
(( 0.11908738261165, 0.12039517057627, 0.75, 3.1149434152413), Ceramic )
(( 0.14518598268468, 0.094401962186074, 0.33864900196755, 3.5898706911734), Plastic )
(( 0.083787711007325, 0.061438223737472, 0.1954754897852, 2.4654180156896), Metal )
(( 0.088825942090843, 0.03, 0.15977163778841, 2.5259688905157), Metal )
(( 0.073407951826713, 0.047207689498966, 0.18890606020957, 5.0304530777499), Metal )
(( 0.050716205475353, 0.03, 0.1, 4.7527363365412), Metal )
(( 0.11699695123149, 0.095659547589287, 0.2393876322131, 3.3471824070995), Plastic )
(( 0.14925991435634, 0.15, 0.4284346360631, 2.9217181403145), Plastic )
(( 0.13978229357309, 0.12358217564002, 0.40607150943258, 3.440146905267), Plastic )
(( 0.086119210167148, 0.03, 0.17492400382053, 4.7803261169541), Ceramic )
